from,to
49745126,72410681
49745126,81854463
49745126,82901133
49745126,85012932
72410681,81854463
72410681,82901133
72410681,85012932
81854463,82901133
81854463,85012932
82901133,85012932
13603846,72519908
13603846,78739428
13603846,78851926
72519908,78739428
72519908,78851926
78739428,78851926
17108461,32366576
17108461,35190366
17108461,66451506
17108461,98312614
17108461,98349391
32366576,35190366
32366576,66451506
32366576,98312614
32366576,98349391
35190366,66451506
35190366,98312614
35190366,98349391
66451506,98312614
66451506,98349391
98312614,98349391
52527527,70359683
67355648,67944089
67355648,69020642
67355648,88885172
67355648,67355648
67355648,67944089
67355648,69020642
67355648,88885172
67944089,69020642
67944089,88885172
67944089,67355648
67944089,67944089
67944089,69020642
67944089,88885172
69020642,88885172
